time,open,high,low,close
2022.12.23 20:00,1797.20,1798.59,1795.49,1798.19
2022.12.26 20:00,1800.41,1804.04,1799.97,1801.76
2022.12.27 00:00,1801.76,1806.33,1800.65,1804.46
2022.12.27 04:00,1804.43,1808.39,1803.73,1805.57
2022.12.27 08:00,1805.63,1810.46,1805.57,1809.77
2022.12.27 12:00,1809.77,1833.25,1802.27,1824.58
2022.12.27 16:00,1824.57,1826.36,1810.61,1813.00
2022.12.27 20:00,1813.03,1814.86,1812.29,1812.41
2022.12.28 00:00,1812.39,1814.50,1809.58,1810.14
2022.12.28 04:00,1810.14,1812.20,1807.36,1810.34
2022.12.28 08:00,1810.35,1811.36,1799.23,1803.25
2022.12.28 12:00,1803.28,1809.42,1798.43,1800.14
2022.12.28 16:00,1798.38,1809.19,1796.99,1805.36
2022.12.28 20:00,1805.36,1805.91,1802.73,1805.77
2022.12.29 00:00,1805.70,1809.26,1805.05,1807.57
2022.12.29 04:00,1807.61,1810.06,1804.78,1806.34
2022.12.29 08:00,1806.34,1811.97,1804.35,1806.64
2022.12.29 12:00,1806.67,1818.10,1805.17,1813.54
2022.12.29 16:00,1813.55,1820.16,1811.93,1817.31
2022.12.29 20:00,1817.26,1817.30,1813.70,1814.99
2022.12.30 00:00,1815.00,1818.99,1814.62,1816.94
2022.12.30 04:00,1816.92,1822.28,1815.25,1816.74
2022.12.30 08:00,1816.74,1820.21,1813.34,1818.90
2022.12.30 12:00,1818.96,1825.19,1814.26,1818.41
2022.12.30 16:00,1818.39,1825.94,1814.24,1821.64
2022.12.30 20:00,1821.64,1824.65,1821.31,1823.51
2023.01.02 20:00,1827.45,1830.35,1823.71,1829.37
2023.01.03 00:00,1829.38,1843.13,1826.73,1841.19
2023.01.03 04:00,1841.20,1849.94,1837.97,1847.50
2023.01.03 08:00,1847.52,1847.95,1830.83,1833.15
2023.01.03 12:00,1833.15,1849.81,1827.60,1833.21
2023.01.03 16:00,1833.22,1840.19,1828.26,1839.03
2023.01.03 20:00,1839.02,1839.81,1836.39,1836.40
2023.01.04 00:00,1836.39,1847.14,1836.10,1845.62
2023.01.04 04:00,1845.60,1858.61,1844.68,1858.24
2023.01.04 08:00,1858.21,1865.11,1856.93,1860.15
2023.01.04 12:00,1860.15,1862.66,1848.98,1857.71
2023.01.04 16:00,1857.72,1860.37,1847.04,1852.44
2023.01.04 20:00,1852.40,1857.10,1851.35,1854.80
2023.01.05 00:00,1854.72,1859.01,1853.28,1853.28
2023.01.05 04:00,1853.30,1855.67,1847.86,1849.37
2023.01.05 08:00,1849.33,1851.20,1843.83,1846.25
2023.01.05 12:00,1846.25,1848.78,1825.06,1826.82
2023.01.05 16:00,1826.83,1837.40,1825.65,1834.28
2023.01.05 20:00,1834.30,1834.30,1830.16,1832.80
2023.01.06 00:00,1832.80,1840.83,1831.26,1839.31
2023.01.06 04:00,1839.31,1840.65,1835.71,1838.30
2023.01.06 08:00,1838.31,1840.52,1833.24,1836.65
2023.01.06 12:00,1836.65,1863.16,1834.61,1862.26
2023.01.06 16:00,1862.27,1869.84,1859.87,1868.81
2023.01.06 20:00,1868.80,1869.33,1865.58,1865.84
2023.01.08 20:00,1865.27,1869.83,1865.27,1869.67
2023.01.09 00:00,1869.67,1879.45,1867.06,1877.19
2023.01.09 04:00,1877.19,1880.96,1873.71,1875.01
2023.01.09 08:00,1875.06,1876.91,1870.52,1873.10
2023.01.09 12:00,1873.10,1881.59,1872.01,1874.74
2023.01.09 16:00,1874.74,1878.48,1869.02,1875.28
2023.01.09 20:00,1875.20,1875.25,1869.19,1870.53
2023.01.10 00:00,1870.50,1876.00,1867.83,1871.82
2023.01.10 04:00,1871.85,1875.21,1870.62,1872.04
2023.01.10 08:00,1872.00,1877.30,1871.64,1875.21
2023.01.10 12:00,1875.21,1880.72,1870.36,1875.74
2023.01.10 16:00,1875.72,1877.39,1871.20,1876.58
2023.01.10 20:00,1876.57,1878.69,1875.86,1877.25
2023.01.11 00:00,1877.21,1878.40,1872.02,1877.74
2023.01.11 04:00,1877.77,1884.59,1876.87,1881.62
2023.01.11 08:00,1881.60,1886.62,1880.90,1883.02
2023.01.11 12:00,1883.02,1883.30,1869.51,1872.01
2023.01.11 16:00,1872.04,1878.54,1867.09,1877.68
2023.01.11 20:00,1877.70,1878.12,1874.45,1876.91
2023.01.12 00:00,1876.94,1884.84,1875.85,1883.54
2023.01.12 04:00,1883.54,1884.98,1879.94,1882.46
2023.01.12 08:00,1882.51,1886.26,1881.18,1885.16
2023.01.12 12:00,1885.16,1910.70,1874.25,1888.86
2023.01.12 16:00,1888.88,1899.54,1888.39,1897.79
2023.01.12 20:00,1897.76,1899.51,1894.24,1898.03
